Player,2017_Team,2017_Yards,2017_YardsRun,2017_Targets,2017_YardsPerRoute,2017_OpenScore,2017_CatchScore,2017_YACScore,2017_Overall,2018_Team,2018_Yards,2018_YardsRun,2018_Targets,2018_YardsPerRoute,2018_OpenScore,2018_CatchScore,2018_YACScore,2018_Overall,2019_Team,2019_Yards,2019_YardsRun,2019_Targets,2019_YardsPerRoute,2019_OpenScore,2019_CatchScore,2019_YACScore,2019_Overall,2020_Team,2020_Yards,2020_YardsRun,2020_Targets,2020_YardsPerRoute,2020_OpenScore,2020_CatchScore,2020_YACScore,2020_Overall,2021_Team,2021_Yards,2021_YardsRun,2021_Targets,2021_YardsPerRoute,2021_OpenScore,2021_CatchScore,2021_YACScore,2021_Overall,2022_Team,2022_Yards,2022_YardsRun,2022_Targets,2022_YardsPerRoute,2022_OpenScore,2022_CatchScore,2022_YACScore,2022_Overall
Ricky Seals-Jones,,,,,,,,,,Cardinals,343.00,295.00,64.00,1.20,36.00,27.00,46.00,28.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rishard Matthews,Titans,837.00,468.00,92.00,1.80,52.00,67.00,63.00,66.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rob Gronkowski,Patriots,"1,302.00",482.00,130.00,2.70,54.00,92.00,48.00,72.00,Patriots,873.00,428.00,90.00,2.00,42.00,48.00,48.00,43.00,,,,,,,,,,Buccaneers,733.00,388.00,83.00,1.90,40.00,54.00,55.00,47.00,Buccaneers,918.00,401.00,103.00,2.30,49.00,48.00,57.00,52.00,,,,,,,,,
Robbie Anderson,Jets,941.00,405.00,106.00,2.30,69.00,34.00,33.00,47.00,Jets,752.00,382.00,91.00,2.00,63.00,56.00,49.00,61.00,Jets,779.00,479.00,93.00,1.60,59.00,57.00,51.00,59.00,Panthers,"1,096.00",471.00,126.00,2.30,64.00,47.00,49.00,56.00,Panthers,519.00,552.00,99.00,0.90,37.00,0.00,40.00,12.00,,,,,,,,,
Robert Tonyan,,,,,,,,,,,,,,,,,,,,,,,,,,,,Packers,668.00,360.00,62.00,1.90,41.00,80.00,40.00,55.00,,,,,,,,,,Packers,470.00,309.00,62.00,1.50,50.00,57.00,22.00,40.00
Robert Woods,Rams,923.00,359.00,91.00,2.60,68.00,78.00,54.00,77.00,Rams,"1,391.00",571.00,138.00,2.40,65.00,42.00,46.00,54.00,Rams,"1,134.00",509.00,115.00,2.20,48.00,51.00,55.00,51.00,Rams,"1,032.00",528.00,118.00,2.00,46.00,54.00,47.00,48.00,Rams,556.00,268.00,64.00,2.10,59.00,46.00,40.00,49.00,Titans,527.00,425.00,90.00,1.20,71.00,34.00,41.00,51.00
Roger Lewis,Giants,416.00,402.00,69.00,1.00,23.00,38.00,42.00,24.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Romeo Doubs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Packers,425.00,262.00,58.00,1.60,57.00,22.00,38.00,35.00
Russell Gage,,,,,,,,,,,,,,,,,,,Falcons,446.00,334.00,66.00,1.30,45.00,29.00,39.00,31.00,Falcons,786.00,460.00,98.00,1.70,54.00,25.00,49.00,39.00,Falcons,770.00,355.00,86.00,2.20,82.00,55.00,48.00,72.00,Buccaneers,436.00,366.00,75.00,1.20,60.00,46.00,32.00,47.00
Ryan Grant,Commanders,573.00,351.00,61.00,1.60,49.00,69.00,52.00,60.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
